stroke_index,timestamp,x,y,pressure
1,1765873325.239897,224,144,0.1
1,1765873325.256446,220,144,0.1
1,1765873325.2804239,207,147,0.1
1,1765873325.307088,169,162,0.1
1,1765873325.3368042,155,169,0.1
1,1765873325.3398132,145,173,0.1
1,1765873325.368674,140,176,0.1
1,1765873325.382429,138,178,0.1
1,1765873325.422956,137,178,0.1
1,1765873325.458098,137,180,0.1
1,1765873325.472737,138,184,0.1
1,1765873325.5000691,140,195,0.1
1,1765873325.515009,143,214,0.1
1,1765873325.530962,146,234,0.1
1,1765873325.5474792,148,253,0.1
1,1765873325.564008,149,268,0.1
1,1765873325.580627,150,278,0.1
1,1765873325.597225,151,284,0.1
1,1765873325.613784,151,286,0.1
1,1765873325.630715,152,288,0.1
2,1765873326.1402721,148,166,0.1
2,1765873326.291809,149,166,0.1
2,1765873326.31894,156,166,0.1
2,1765873326.337138,171,166,0.1
2,1765873326.339613,187,166,0.1
2,1765873326.369149,199,166,0.1
2,1765873326.382696,208,166,0.1
2,1765873326.398794,214,166,0.1
2,1765873326.414287,217,166,0.1
2,1765873326.4308748,218,166,0.1
2,1765873326.447235,218,167,0.1
2,1765873326.4640791,218,171,0.1
2,1765873326.4805381,217,180,0.1
2,1765873326.497209,212,195,0.1
2,1765873326.513886,207,211,0.1
2,1765873326.5306292,202,227,0.1
2,1765873326.5469491,196,247,0.1
2,1765873326.5636458,190,267,0.1
2,1765873326.580332,186,282,0.1
2,1765873326.596977,183,292,0.1
2,1765873326.6135979,181,299,0.1
2,1765873326.630261,180,303,0.1
2,1765873326.647485,179,305,0.1
