stroke_num,timestamp,x,y,pressure
1,1759809727.046137,194,147,0.1
1,1759809727.191648,193,147,0.1
1,1759809727.208281,190,147,0.1
1,1759809727.238554,187,147,0.1
1,1759809727.241565,183,147,0.1
1,1759809727.270543,178,148,0.1
1,1759809727.284422,171,151,0.1
1,1759809727.3006752,164,154,0.1
1,1759809727.316888,157,157,0.1
1,1759809727.333291,150,161,0.1
1,1759809727.349874,140,166,0.1
1,1759809727.366386,128,171,0.1
1,1759809727.383161,117,178,0.1
1,1759809727.39993,107,183,0.1
1,1759809727.4161751,99,188,0.1
1,1759809727.432576,95,191,0.1
1,1759809727.449137,92,192,0.1
1,1759809727.466048,91,193,0.1
1,1759809727.482867,90,194,0.1
1,1759809727.499159,90,195,0.1
1,1759809727.575577,91,196,0.1
1,1759809727.593157,92,196,0.1
1,1759809727.618554,93,197,0.1
1,1759809727.633728,94,201,0.1
1,1759809727.650275,94,211,0.1
1,1759809727.6666,95,228,0.1
1,1759809727.683074,95,251,0.1
1,1759809727.6994188,95,274,0.1
1,1759809727.7161658,96,292,0.1
1,1759809727.732723,96,307,0.1
1,1759809727.749512,97,315,0.1
1,1759809727.766003,97,319,0.1
1,1759809727.782389,97,321,0.1
2,1759809728.5601752,209,0,0.1
2,1759809728.7613518,210,0,0.1
2,1759809728.784641,210,3,0.1
2,1759809728.809,217,16,0.1
2,1759809728.811105,230,40,0.1
2,1759809728.839713,248,76,0.1
2,1759809728.844666,266,116,0.1
2,1759809728.870826,279,150,0.1
2,1759809728.8854232,291,183,0.1
2,1759809728.90101,301,208,0.1
2,1759809728.9173188,310,230,0.1
2,1759809728.933685,319,250,0.1
2,1759809728.950117,324,264,0.1
2,1759809728.966847,328,276,0.1
2,1759809728.9834292,331,287,0.1
2,1759809728.9998841,332,295,0.1
2,1759809729.016384,333,300,0.1
2,1759809729.0332758,334,305,0.1
2,1759809729.049942,334,308,0.1
2,1759809729.0665112,334,311,0.1
2,1759809729.083452,334,312,0.1
2,1759809729.099939,334,314,0.1
2,1759809729.116522,334,315,0.1
2,1759809729.13334,335,316,0.1
2,1759809729.163711,335,317,0.1
2,1759809729.244371,335,316,0.1
2,1759809729.2598028,335,314,0.1
2,1759809729.286172,335,310,0.1
2,1759809729.301088,335,302,0.1
